[  679796ms] [INFO] [SAFA API] -> GET /orders {method: GET, path: /orders, url: /api/orders, body: undefined, requestedAt: 2026-06-23T13:19:27.640Z} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[  679796ms] [INFO] [SAFA API] -> GET /products {method: GET, path: /products, url: /api/products, body: undefined, requestedAt: 2026-06-23T13:19:27.641Z} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[  679797ms] [INFO] [SAFA API] -> GET /integrations/hepsiburada/order-lines {method: GET, path: /integrations/hepsiburada/order-lines, url: /api/integrations/hepsiburada/order-lines, body: undefined, requestedAt: 2026-06-23T13:19:27.641Z} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[  679797ms] [INFO] [SAFA API] -> GET /invoice-drafts {method: GET, path: /invoice-drafts, url: /api/invoice-drafts, body: undefined, requestedAt: 2026-06-23T13:19:27.642Z} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[  679798ms] [INFO] [SAFA API] -> GET /invoices {method: GET, path: /invoices, url: /api/invoices, body: undefined, requestedAt: 2026-06-23T13:19:27.642Z} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[  679798ms] [INFO] [SAFA API] -> GET /external-invoices {method: GET, path: /external-invoices, url: /api/external-invoices, body: undefined, requestedAt: 2026-06-23T13:19:27.643Z} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[  679798ms] [INFO] [SAFA API] -> GET /jobs {method: GET, path: /jobs, url: /api/jobs, body: undefined, requestedAt: 2026-06-23T13:19:27.643Z} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[  679799ms] [INFO] [SAFA API] -> GET /settings {method: GET, path: /settings, url: /api/settings, body: undefined, requestedAt: 2026-06-23T13:19:27.643Z} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[  679799ms] [INFO] [SAFA API] -> GET /settings/connections {method: GET, path: /settings/connections, url: /api/settings/connections, body: undefined, requestedAt: 2026-06-23T13:19:27.644Z} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[  679800ms] [INFO] [SAFA API] -> GET /automation/status {method: GET, path: /automation/status, url: /api/automation/status, body: undefined, requestedAt: 2026-06-23T13:19:27.644Z} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[  685147ms] [INFO] [SAFA API] <- 200 GET /automation/status (7377ms) {method: GET, path: /automation/status, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[  687727ms] [INFO] [SAFA API] <- 200 GET /jobs (9813ms) {method: GET, path: /jobs, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[  691646ms] [INFO] [SAFA API] <- 200 GET /invoice-drafts (13870ms) {method: GET, path: /invoice-drafts, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
[  691907ms] [INFO] [SAFA API] <- 200 GET /settings (14137ms) {method: GET, path: /settings, status: 200, statusText: , ok: true} @ https://safa-redesign.web.app/_next/static/chunks/0b36s8n8kj00o.js:0
